Brand,Name,Price,Image,Link
Redmi,Redmi Note 11 - 4G - 128G - Gris - Garantie 1 an,729.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/5466/1.jpg?1076,https://www.jumia.com.tn/smartphones//redmi-note-11-4g-128g-gris-garantie-1-an-664552.html
Inkax,Inkax T03 - Bluetooth Écouteurs sans Fil True Wireless Bluetooth-Blanc,62.5,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/5396/1.jpg?4798,https://www.jumia.com.tn/smartphones//inkax-t03-bluetooth-ecouteurs-sans-fil-true-wireless-bluetooth-blanc-693546.html
Smart,"Smart E2 - 6.55"" - 2Go - 32Go - Noir - Garantie 1 an",299.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/9766/1.jpg?2989,https://www.jumia.com.tn/smartphones//smart-e2-6.55-2go-32go-noir-garantie-1-an-667910.html
Tecno,"Tecno Spark Go 2023 -6.56""- 4Go -64Go - Bleu  - Garantie 1an",379.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/9237/1.jpg?2891,https://www.jumia.com.tn/smartphones//tecno-spark-go-2023-6.56-4go-64go-bleu-garantie-1an-732932.html
Apple,"Apple iPhone 14 Pro Max - 6,7"" - 512 GB - Silver - Garantie 12 mois",9883.3,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/6296/1.jpg?3193,https://www.jumia.com.tn/smartphones//apple-iphone-14-pro-max-67-512-gb-silver-garantie-12-mois-692667.html
Apple,"Apple iPhone 11 - 6.1""- 64 Go - Noir - Garantie 1 an +  Apple Earpods Offertes",2898.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/5106/1.jpg?1749,https://www.jumia.com.tn/smartphones//apple-iphone-11-6.1-64-go-noir-garantie-1-an-apple-earpods-offertes-601597.html
Samsung,"Samsung Galaxy A24 6.5"" Amoled 90Hz 6GO 128GO - Noir - Garantie 1an",1069.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/9447/1.jpg?8008,https://www.jumia.com.tn/smartphones//samsung-galaxy-a24-6.5-amoled-90hz-6go-128go-noir-garantie-1an-744958.html
XIAOMI,"XIAOMI Redmi 10C - 6.71""- 4Go - 64Go - Vert - Garantie 1 an",569.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/0576/1.jpg?4287,https://www.jumia.com.tn/smartphones//redmi-10c-6.71-4go-64go-bleu-garantie-1-an-xiaomi-mpg33911.html
Infinix,"Infinix HOT 20 - 6,82"" - 4G/DS - 6/128 GB - X6826 - Sonic Black",679.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/0307/1.jpg?8546,https://www.jumia.com.tn/smartphones//infinix-hot-20-682-4gds-6128-gb-x6826-sonic-black-703047.html
Infinix,"Infinix Smart 7 - 6,6"" - 7GB (4+3) Ram - 64 GB - Peacock Blue - Garantie 1 an",409.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/0817/1.jpg?1547,https://www.jumia.com.tn/smartphones//infinix-smart-7-66-7gb-43-ram-64-gb-peacock-blue-garantie-1-an-718065.html
Samsung,"Samsung Galaxy A04e 6.5"" HD+ 3G+4G Ram Plus 64G - Copper - Garantie 1 an",479.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/8427/1.jpg?7589,https://www.jumia.com.tn/smartphones//samsung-galaxy-a04e-6.5-hd-3g4g-ram-plus-64g-copper-garantie-1-an-724857.html
Itel,Itel A18 - 3G - DS - 1Gb- 32G Et Pochette + Anticasse - Blue - Garantie 1an,189.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/6207/1.jpg?5806,https://www.jumia.com.tn/smartphones//itel-a18-3g-ds-1gb-32g-et-pochette-anticasse-blue-garantie-1an-702658.html
Smart,Smart M20 2Go- 64Go - Vert - Garantie 1 an,309.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/0527/1.jpg?1211,https://www.jumia.com.tn/smartphones//smart-m20-2go-64go-vert-garantie-1-an-725031.html
XIAOMI,"XIAOMI Redmi 10 2022 - 6.5""- 50MP Camera - 6Go - 128Go et Pochette + Anticasse - Carbon Gray - Garantie 1an",879.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/4007/1.jpg?3188,https://www.jumia.com.tn/smartphones//xiaomi-redmi-10-2022-6.5-50mp-camera-6go-128go-et-pochette-anticasse-carbon-gray-garantie-1an-700449.html
Samsung,"Samsung A34 - 6.6 "" -  8Go - 128GB - Awesome Silver - 1 an Garantie",1599.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/6147/1.jpg?6086,https://www.jumia.com.tn/smartphones//samsung-a34-6.6-8go-128gb-awesome-silver-1-an-garantie-741630.html
Oppo,"Oppo A17k 6.56"" 3 - 64 Gb  Bleu -5000 mAh - Garantie 1 An",487.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/3586/1.jpg?6487,https://www.jumia.com.tn/smartphones//oppo-a17k-6.56-3-64-gb-bleu-5000-mah-garantie-1-an-685363.html
Apple,"Apple iPhone 14 Pro Max - 6,7"" - 512 GB -Deep Purple - Garantie 12 mois",9883.3,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6296/1.jpg?3192,https://www.jumia.com.tn/smartphones//apple-iphone-14-pro-max-67-512-gb-deep-purple-garantie-12-mois-692670.html
Infinix,"Infinix Smart 6 HD - 6.6"" - 2 Go - 32 Go et Pochette + Anticasse - Blue - Garantie 1 an",359.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/3556/1.jpg?4809,https://www.jumia.com.tn/smartphones//smart-6-6.6-2-go-32-go-heart-of-ocean-garantie-1-an-infinix-mpg22486.html
Samsung,"Samsung Galaxy A04e 6.5"" HD+ 3G+4G Ram Plus 64G - Bleu - Garantie 1 an",479.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/8427/1.jpg?7589,https://www.jumia.com.tn/smartphones//samsung-galaxy-a04e-6.5-hd-3g4g-ram-plus-64g-bleu-garantie-1-an-724856.html
Infinix,"Infinix Hot  20i - 6,6"" HD+ IPS - 6GB - 128GB - Noir - Garantie 1 an",539.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/0347/1.jpg?1126,https://www.jumia.com.tn/smartphones//infinix-hot-20i-66-hd-ips-6gb-128gb-noir-garantie-1-an-743054.html
Iku,"Iku X5 - 6.95"" - 3 Go - 32 Go -5500mAh -  Blue - Garantie 1 an",341.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/8696/1.jpg?7209,https://www.jumia.com.tn/smartphones//iku-x5-6.95-3-go-32-go-5500mah-blue-garantie-1-an-696859.html
Oukitel,"Oukitel WP20 - Etanche + Robuste - 5.93"" -4 Go-32 Go -6300 Mah + Cadeau Kit- Noir+Vert - Garantie 1 An",549.99,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/0266/1.jpg?5514,https://www.jumia.com.tn/smartphones//oukitel-wp20-etanche-robuste-5.93-4-go-32-go-6300-mah-cadeau-kit-noirvert-garantie-1-an-662014.html
XIAOMI,"XIAOMI Redmi 10C - 6.71""- 4Go - 128Go - Bleu - Garantie 1 an",619.9,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/9356/1.jpg?0685,https://www.jumia.com.tn/smartphones//xiaomi-redmi-10c-6.71-4go-128go-bleu-garantie-1-an-653903.html
Oppo,"Oppo A17k 6.56"" 3 - 64 Gb Navy Blue -5000 mAh - Garantie 1 An",487.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/3586/1.jpg?5145,https://www.jumia.com.tn/smartphones//oppo-a17k-6.56-3-64-gb-navy-blue-5000-mah-garantie-1-an-685361.html
XIAOMI,"XIAOMI Note 12 -6.67""- 4Go-128Go-Gris- Garantie 1an",714.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/7837/1.jpg?8512,https://www.jumia.com.tn/smartphones//xiaomi-note-12-6.67-4go-128go-gris-garantie-1an-738714.html
XIAOMI,"XIAOMI Redmi 12C - 6.71"" - 4 Go - 128 Go - Vert - Garantie 1 an",579.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/7627/1.jpg?2547,https://www.jumia.com.tn/smartphones//xiaomi-redmi-12c-6.71-4-go-128-go-vert-garantie-1-an-726783.html
Apple,"Apple iPhone 14 Pro Max - 6,7"" - 128 GB -Space Black - Garantie 12 mois",7549.92,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/6296/1.jpg?3831,https://www.jumia.com.tn/smartphones//apple-iphone-14-pro-max-67-128-gb-space-black-garantie-12-mois-692673.html
Nokia,Nokia C1 2ÈME ÉDITION 1GO 16GO - purple Garantie 1 An,209.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/2527/1.jpg?4798,https://www.jumia.com.tn/smartphones//nokia-c1-2eme-edition-1go-16go-purple-garantie-1-an-725201.html
Apple,"Apple iPhone 14 - 6,1"" - 128 GB - Starlight - Garantie 12 mois",5352.76,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/7296/1.jpg?8373,https://www.jumia.com.tn/smartphones//apple-iphone-14-61-128-gb-starlight-garantie-12-mois-692711.html
Apple,Apple Iphone 11 - 64 Go - Noir - Garantie 1 an,2299.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/1047/1.jpg?2165,https://www.jumia.com.tn/smartphones//apple-iphone-11-64-go-noir-garantie-1-an-740160.html
